WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 04:30:06,203 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 04:30:10,204 INFO running adamw_cbp_m200 seed=0 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 04:33:02,377 INFO adamw_cbp_m200 seed=0 task 20/200 online_acc=0.7866 elapsed=164.9s
2026-08-02 04:35:36,215 INFO adamw_cbp_m200 seed=0 task 40/200 online_acc=0.7980 elapsed=318.7s
2026-08-02 04:38:16,100 INFO adamw_cbp_m200 seed=0 task 60/200 online_acc=0.8072 elapsed=478.6s
2026-08-02 04:40:55,024 INFO adamw_cbp_m200 seed=0 task 80/200 online_acc=0.8028 elapsed=637.5s
2026-08-02 04:43:35,535 INFO adamw_cbp_m200 seed=0 task 100/200 online_acc=0.8068 elapsed=798.0s
2026-08-02 04:46:14,121 INFO adamw_cbp_m200 seed=0 task 120/200 online_acc=0.7992 elapsed=956.6s
2026-08-02 04:48:55,391 INFO adamw_cbp_m200 seed=0 task 140/200 online_acc=0.7972 elapsed=1117.9s
2026-08-02 04:51:33,702 INFO adamw_cbp_m200 seed=0 task 160/200 online_acc=0.7906 elapsed=1276.2s
2026-08-02 04:54:10,610 INFO adamw_cbp_m200 seed=0 task 180/200 online_acc=0.7938 elapsed=1433.1s
2026-08-02 04:56:51,643 INFO adamw_cbp_m200 seed=0 task 200/200 online_acc=0.7956 elapsed=1594.1s
2026-08-02 04:56:51,680 INFO adamw_cbp_m200 seed=0 done: avg online acc 0.7995 (wall 1594.1s) -> outputs/ipmnist_screening/confirm_full/adamw_cbp_m200_seed0.json
