WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 04:01:29,482 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 04:01:33,765 INFO running adamw_cbp_r3e4 seed=2 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 04:05:21,533 INFO adamw_cbp_r3e4 seed=2 task 20/200 online_acc=0.7962 elapsed=219.4s
2026-08-02 04:08:02,403 INFO adamw_cbp_r3e4 seed=2 task 40/200 online_acc=0.8010 elapsed=380.3s
2026-08-02 04:10:45,713 INFO adamw_cbp_r3e4 seed=2 task 60/200 online_acc=0.8010 elapsed=543.6s
2026-08-02 04:13:29,549 INFO adamw_cbp_r3e4 seed=2 task 80/200 online_acc=0.8032 elapsed=707.5s
2026-08-02 04:16:15,174 INFO adamw_cbp_r3e4 seed=2 task 100/200 online_acc=0.8066 elapsed=873.1s
2026-08-02 04:19:00,829 INFO adamw_cbp_r3e4 seed=2 task 120/200 online_acc=0.7988 elapsed=1038.7s
2026-08-02 04:21:44,841 INFO adamw_cbp_r3e4 seed=2 task 140/200 online_acc=0.7978 elapsed=1202.8s
2026-08-02 04:24:28,181 INFO adamw_cbp_r3e4 seed=2 task 160/200 online_acc=0.8028 elapsed=1366.1s
2026-08-02 04:27:14,188 INFO adamw_cbp_r3e4 seed=2 task 180/200 online_acc=0.7946 elapsed=1532.1s
2026-08-02 04:29:57,361 INFO adamw_cbp_r3e4 seed=2 task 200/200 online_acc=0.7954 elapsed=1695.3s
2026-08-02 04:29:57,397 INFO adamw_cbp_r3e4 seed=2 done: avg online acc 0.8016 (wall 1695.3s) -> outputs/ipmnist_screening/confirm_full/adamw_cbp_r3e4_seed2.json
