WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 17:19:15,433 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 17:19:21,135 INFO running adamw_cbp seed=4 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-01 17:28:24,573 INFO adamw_cbp seed=4 task 20/200 online_acc=0.7996 elapsed=531.3s
2026-08-01 17:36:55,282 INFO adamw_cbp seed=4 task 40/200 online_acc=0.7926 elapsed=1042.0s
2026-08-01 17:44:29,450 INFO adamw_cbp seed=4 task 60/200 online_acc=0.8004 elapsed=1496.2s
2026-08-01 17:51:15,686 INFO adamw_cbp seed=4 task 80/200 online_acc=0.7992 elapsed=1902.4s
2026-08-01 17:58:03,848 INFO adamw_cbp seed=4 task 100/200 online_acc=0.8004 elapsed=2310.6s
2026-08-01 18:04:48,423 INFO adamw_cbp seed=4 task 120/200 online_acc=0.7982 elapsed=2715.1s
2026-08-01 18:11:39,161 INFO adamw_cbp seed=4 task 140/200 online_acc=0.7954 elapsed=3125.9s
2026-08-01 18:18:19,005 INFO adamw_cbp seed=4 task 160/200 online_acc=0.7976 elapsed=3525.7s
2026-08-01 18:24:52,672 INFO adamw_cbp seed=4 task 180/200 online_acc=0.7978 elapsed=3919.4s
2026-08-01 18:31:28,131 INFO adamw_cbp seed=4 task 200/200 online_acc=0.8012 elapsed=4314.8s
2026-08-01 18:31:29,710 INFO adamw_cbp seed=4 done: avg online acc 0.7989 (wall 4314.8s) -> outputs/ipmnist_screening/confirm_full/adamw_cbp_seed4.json
