WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 09:43:32,267 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 09:43:36,342 INFO running sigma0_ndecay099 seed=1 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 09:44:44,669 INFO sigma0_ndecay099 seed=1 task 20/200 online_acc=0.8700 elapsed=65.3s
2026-08-02 09:45:40,687 INFO sigma0_ndecay099 seed=1 task 40/200 online_acc=0.8500 elapsed=121.3s
2026-08-02 09:46:38,204 INFO sigma0_ndecay099 seed=1 task 60/200 online_acc=0.8542 elapsed=178.8s
2026-08-02 09:47:37,170 INFO sigma0_ndecay099 seed=1 task 80/200 online_acc=0.8602 elapsed=237.8s
2026-08-02 09:48:32,094 INFO sigma0_ndecay099 seed=1 task 100/200 online_acc=0.8658 elapsed=292.7s
2026-08-02 09:49:28,197 INFO sigma0_ndecay099 seed=1 task 120/200 online_acc=0.8546 elapsed=348.8s
2026-08-02 09:50:23,588 INFO sigma0_ndecay099 seed=1 task 140/200 online_acc=0.8628 elapsed=404.2s
2026-08-02 09:51:18,509 INFO sigma0_ndecay099 seed=1 task 160/200 online_acc=0.8564 elapsed=459.1s
2026-08-02 09:52:13,187 INFO sigma0_ndecay099 seed=1 task 180/200 online_acc=0.8628 elapsed=513.8s
2026-08-02 09:52:54,808 INFO sigma0_ndecay099 seed=1 task 200/200 online_acc=0.8628 elapsed=555.4s
2026-08-02 09:52:54,837 INFO sigma0_ndecay099 seed=1 done: avg online acc 0.8620 (wall 555.4s) -> outputs/ipmnist_screening/confirm_full/sigma0_ndecay099_seed1.json
