WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:22:46,333 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:22:49,997 INFO running sigma0_shiftnorm_d099 seed=1 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:23:41,124 INFO sigma0_shiftnorm_d099 seed=1 task 20/200 online_acc=0.8690 elapsed=48.9s
2026-08-02 20:24:21,290 INFO sigma0_shiftnorm_d099 seed=1 task 40/200 online_acc=0.8526 elapsed=89.1s
2026-08-02 20:24:53,363 INFO sigma0_shiftnorm_d099 seed=1 task 60/200 online_acc=0.8578 elapsed=121.2s
2026-08-02 20:25:22,992 INFO sigma0_shiftnorm_d099 seed=1 task 80/200 online_acc=0.8612 elapsed=150.8s
2026-08-02 20:25:51,217 INFO sigma0_shiftnorm_d099 seed=1 task 100/200 online_acc=0.8694 elapsed=179.0s
2026-08-02 20:26:21,592 INFO sigma0_shiftnorm_d099 seed=1 task 120/200 online_acc=0.8604 elapsed=209.4s
2026-08-02 20:26:56,912 INFO sigma0_shiftnorm_d099 seed=1 task 140/200 online_acc=0.8632 elapsed=244.7s
2026-08-02 20:27:32,767 INFO sigma0_shiftnorm_d099 seed=1 task 160/200 online_acc=0.8568 elapsed=280.6s
2026-08-02 20:28:10,277 INFO sigma0_shiftnorm_d099 seed=1 task 180/200 online_acc=0.8648 elapsed=318.1s
2026-08-02 20:28:39,912 INFO sigma0_shiftnorm_d099 seed=1 task 200/200 online_acc=0.8610 elapsed=347.7s
2026-08-02 20:28:39,950 INFO sigma0_shiftnorm_d099 seed=1 done: avg online acc 0.8644 (wall 347.7s) -> outputs/ipmnist_screening/confirm_full/sigma0_shiftnorm_d099_seed1.json
