WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 02:19:56,291 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 02:20:03,442 INFO running upgd_ema_norm_sigma0 seed=2 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 02:31:05,229 INFO upgd_ema_norm_sigma0 seed=2 task 20/200 online_acc=0.8488 elapsed=656.5s
2026-08-02 02:42:00,419 INFO upgd_ema_norm_sigma0 seed=2 task 40/200 online_acc=0.8532 elapsed=1311.6s
2026-08-02 02:52:12,739 INFO upgd_ema_norm_sigma0 seed=2 task 60/200 online_acc=0.8534 elapsed=1924.0s
2026-08-02 03:02:13,216 INFO upgd_ema_norm_sigma0 seed=2 task 80/200 online_acc=0.8542 elapsed=2524.4s
2026-08-02 03:11:51,807 INFO upgd_ema_norm_sigma0 seed=2 task 100/200 online_acc=0.8536 elapsed=3103.0s
2026-08-02 03:18:46,036 INFO upgd_ema_norm_sigma0 seed=2 task 120/200 online_acc=0.8446 elapsed=3517.3s
2026-08-02 03:25:25,726 INFO upgd_ema_norm_sigma0 seed=2 task 140/200 online_acc=0.8434 elapsed=3917.0s
2026-08-02 03:32:19,110 INFO upgd_ema_norm_sigma0 seed=2 task 160/200 online_acc=0.8494 elapsed=4330.3s
2026-08-02 03:39:17,213 INFO upgd_ema_norm_sigma0 seed=2 task 180/200 online_acc=0.8516 elapsed=4748.4s
2026-08-02 03:46:26,277 INFO upgd_ema_norm_sigma0 seed=2 task 200/200 online_acc=0.8434 elapsed=5177.5s
2026-08-02 03:46:26,973 INFO upgd_ema_norm_sigma0 seed=2 done: avg online acc 0.8508 (wall 5177.5s) -> outputs/ipmnist_screening/confirm_full/upgd_ema_norm_sigma0_seed2.json
