WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 22:21:02,711 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 22:21:09,083 INFO running upgd_idbd seed=1 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-01 22:39:32,192 INFO upgd_idbd seed=1 task 20/200 online_acc=0.7848 elapsed=1090.5s
2026-08-01 23:00:25,852 INFO upgd_idbd seed=1 task 40/200 online_acc=0.7698 elapsed=2344.2s
2026-08-01 23:24:46,800 INFO upgd_idbd seed=1 task 60/200 online_acc=0.7798 elapsed=3805.1s
2026-08-01 23:49:06,502 INFO upgd_idbd seed=1 task 80/200 online_acc=0.7710 elapsed=5264.8s
2026-08-02 00:14:34,042 INFO upgd_idbd seed=1 task 100/200 online_acc=0.7822 elapsed=6792.4s
2026-08-02 00:39:06,036 INFO upgd_idbd seed=1 task 120/200 online_acc=0.7686 elapsed=8264.4s
2026-08-02 01:03:55,864 INFO upgd_idbd seed=1 task 140/200 online_acc=0.7844 elapsed=9754.2s
2026-08-02 01:30:20,561 INFO upgd_idbd seed=1 task 160/200 online_acc=0.7718 elapsed=11338.9s
2026-08-02 01:56:38,522 INFO upgd_idbd seed=1 task 180/200 online_acc=0.7832 elapsed=12916.9s
