WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-07-31 13:40:59,849 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-07-31 13:41:19,767 INFO running upgd_w_control seed=2 for 200 tasks x 5000 steps (noise_mode=pool)
2026-07-31 14:14:39,131 INFO upgd_w_control seed=2 task 20/200 online_acc=0.7744 elapsed=1967.5s
2026-07-31 14:49:14,301 INFO upgd_w_control seed=2 task 40/200 online_acc=0.7858 elapsed=4042.6s
2026-07-31 15:23:48,989 INFO upgd_w_control seed=2 task 60/200 online_acc=0.7776 elapsed=6117.3s
2026-07-31 15:53:59,904 INFO upgd_w_control seed=2 task 80/200 online_acc=0.7748 elapsed=7928.2s
2026-07-31 16:22:43,709 INFO upgd_w_control seed=2 task 100/200 online_acc=0.7828 elapsed=9652.0s
2026-07-31 16:49:02,776 INFO upgd_w_control seed=2 task 120/200 online_acc=0.7712 elapsed=11231.1s
2026-07-31 17:15:05,658 INFO upgd_w_control seed=2 task 140/200 online_acc=0.7830 elapsed=12794.0s
2026-07-31 17:39:09,457 INFO upgd_w_control seed=2 task 160/200 online_acc=0.7740 elapsed=14237.8s
2026-07-31 18:02:07,809 INFO upgd_w_control seed=2 task 180/200 online_acc=0.7728 elapsed=15616.2s
2026-07-31 18:23:57,476 INFO upgd_w_control seed=2 task 200/200 online_acc=0.7696 elapsed=16925.8s
2026-07-31 18:24:03,392 INFO upgd_w_control seed=2 done: avg online acc 0.7791 (wall 16925.8s) -> outputs/ipmnist_screening/confirm_full/upgd_w_control_seed2.json
