WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 16:55:43,699 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 16:55:50,349 INFO running upgd_w_wd0005 seed=2 for 200 tasks x 5000 steps (noise_mode=pool)
2026-08-01 16:57:49,484 INFO upgd_w_wd0005 seed=2 task 20/200 online_acc=0.7812 elapsed=114.8s
2026-08-01 16:59:26,578 INFO upgd_w_wd0005 seed=2 task 40/200 online_acc=0.7914 elapsed=211.9s
2026-08-01 17:00:41,604 INFO upgd_w_wd0005 seed=2 task 60/200 online_acc=0.7884 elapsed=286.9s
2026-08-01 17:01:45,830 INFO upgd_w_wd0005 seed=2 task 80/200 online_acc=0.7848 elapsed=351.1s
2026-08-01 17:02:52,433 INFO upgd_w_wd0005 seed=2 task 100/200 online_acc=0.7916 elapsed=417.7s
2026-08-01 17:04:02,789 INFO upgd_w_wd0005 seed=2 task 120/200 online_acc=0.7764 elapsed=488.1s
2026-08-01 17:05:09,246 INFO upgd_w_wd0005 seed=2 task 140/200 online_acc=0.7900 elapsed=554.5s
2026-08-01 17:06:15,977 INFO upgd_w_wd0005 seed=2 task 160/200 online_acc=0.7796 elapsed=621.3s
2026-08-01 17:07:15,907 INFO upgd_w_wd0005 seed=2 task 180/200 online_acc=0.7776 elapsed=681.2s
2026-08-01 17:08:10,772 INFO upgd_w_wd0005 seed=2 task 200/200 online_acc=0.7824 elapsed=736.1s
2026-08-01 17:08:10,844 INFO upgd_w_wd0005 seed=2 done: avg online acc 0.7845 (wall 736.1s) -> outputs/ipmnist_screening/confirm_full/upgd_w_wd0005_seed2.json
