WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:59:39,932 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:59:44,347 INFO running sigma0_ndecay099 seed=6 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:01:16,906 INFO sigma0_ndecay099 seed=6 task 20/200 online_acc=0.8604 elapsed=89.1s
2026-08-02 21:02:38,578 INFO sigma0_ndecay099 seed=6 task 40/200 online_acc=0.8696 elapsed=170.8s
2026-08-02 21:04:03,082 INFO sigma0_ndecay099 seed=6 task 60/200 online_acc=0.8610 elapsed=255.3s
2026-08-02 21:05:22,260 INFO sigma0_ndecay099 seed=6 task 80/200 online_acc=0.8604 elapsed=334.4s
2026-08-02 21:06:38,460 INFO sigma0_ndecay099 seed=6 task 100/200 online_acc=0.8574 elapsed=410.6s
2026-08-02 21:07:56,846 INFO sigma0_ndecay099 seed=6 task 120/200 online_acc=0.8584 elapsed=489.0s
2026-08-02 21:09:15,021 INFO sigma0_ndecay099 seed=6 task 140/200 online_acc=0.8676 elapsed=567.2s
2026-08-02 21:10:31,284 INFO sigma0_ndecay099 seed=6 task 160/200 online_acc=0.8662 elapsed=643.5s
2026-08-02 21:11:33,493 INFO sigma0_ndecay099 seed=6 task 180/200 online_acc=0.8628 elapsed=705.7s
2026-08-02 21:12:28,207 INFO sigma0_ndecay099 seed=6 task 200/200 online_acc=0.8588 elapsed=760.4s
2026-08-02 21:12:28,251 INFO sigma0_ndecay099 seed=6 done: avg online acc 0.8621 (wall 760.4s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed6.json
