An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-03 18:33:25,533 INFO input_permutation/sgd_raw seed=0 overall=0.2635 wall=2.65s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_raw_seed0.json
2026-08-03 18:33:30,633 INFO input_permutation/sgd_raw seed=1 overall=0.2743 wall=3.91s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_raw_seed1.json
2026-08-03 18:33:34,548 INFO input_permutation/sgd_raw seed=2 overall=0.2842 wall=2.66s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_raw_seed2.json
2026-08-03 18:33:47,561 INFO input_permutation/adamw seed=0 overall=0.2222 wall=11.65s -> outputs/micro_continual/ladder_m1/input_permutation_adamw_seed0.json
2026-08-03 18:34:01,304 INFO input_permutation/adamw seed=1 overall=0.2246 wall=12.53s -> outputs/micro_continual/ladder_m1/input_permutation_adamw_seed1.json
2026-08-03 18:34:14,624 INFO input_permutation/adamw seed=2 overall=0.2378 wall=12.05s -> outputs/micro_continual/ladder_m1/input_permutation_adamw_seed2.json
2026-08-03 18:37:16,637 INFO input_permutation/upgd_raw seed=0 overall=0.2483 wall=180.77s -> outputs/micro_continual/ladder_m1/input_permutation_upgd_raw_seed0.json
2026-08-03 18:40:23,899 INFO input_permutation/upgd_raw seed=1 overall=0.2836 wall=185.94s -> outputs/micro_continual/ladder_m1/input_permutation_upgd_raw_seed1.json
2026-08-03 18:43:24,199 INFO input_permutation/upgd_raw seed=2 overall=0.3085 wall=179.05s -> outputs/micro_continual/ladder_m1/input_permutation_upgd_raw_seed2.json
2026-08-03 18:43:28,146 INFO input_permutation/sgd_norm seed=0 overall=0.6610 wall=2.78s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_norm_seed0.json
2026-08-03 18:43:33,588 INFO input_permutation/sgd_norm seed=1 overall=0.7145 wall=4.05s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_norm_seed1.json
2026-08-03 18:43:37,544 INFO input_permutation/sgd_norm seed=2 overall=0.6683 wall=2.73s -> outputs/micro_continual/ladder_m1/input_permutation_sgd_norm_seed2.json
2026-08-03 18:43:58,530 INFO input_permutation/gated_norm seed=0 overall=0.6729 wall=19.78s -> outputs/micro_continual/ladder_m1/input_permutation_gated_norm_seed0.json
2026-08-03 18:44:13,092 INFO input_permutation/gated_norm seed=1 overall=0.7218 wall=13.45s -> outputs/micro_continual/ladder_m1/input_permutation_gated_norm_seed1.json
2026-08-03 18:44:29,262 INFO input_permutation/gated_norm seed=2 overall=0.6786 wall=15.00s -> outputs/micro_continual/ladder_m1/input_permutation_gated_norm_seed2.json
2026-08-03 18:44:32,545 INFO input_permutation/naive_bayes seed=0 overall=0.5867 wall=2.04s -> outputs/micro_continual/ladder_m1/input_permutation_naive_bayes_seed0.json
2026-08-03 18:44:35,673 INFO input_permutation/naive_bayes seed=1 overall=0.6336 wall=1.89s -> outputs/micro_continual/ladder_m1/input_permutation_naive_bayes_seed1.json
2026-08-03 18:44:39,068 INFO input_permutation/naive_bayes seed=2 overall=0.5952 wall=2.14s -> outputs/micro_continual/ladder_m1/input_permutation_naive_bayes_seed2.json
2026-08-03 18:44:41,177 INFO merged 18 shards -> outputs/micro_continual/ladder_m1/summary_input_permutation.json
2026-08-03 18:44:41,179 INFO transfer_valid=True (primary checks: {'conditioning_dominates': True, 'gate_small_positive': True, 'adam_decays': True, 'adam_below_upgd_raw': True, 'naive_bayes_placement': True, 'champion_top': True}) -> outputs/micro_continual/ladder_m1/transfer_input_permutation.json
