WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-07-31 11:53:58,428 INFO shard learner=adamw seed=102 tasks=400 task_length=2500
2026-07-31 11:55:10,751 INFO adamw task 20/400 online_acc=0.2084 elapsed=67.4s
2026-07-31 11:55:58,007 INFO adamw task 40/400 online_acc=0.2256 elapsed=114.6s
2026-07-31 11:56:44,923 INFO adamw task 60/400 online_acc=0.2136 elapsed=161.5s
2026-07-31 11:57:41,643 INFO adamw task 80/400 online_acc=0.2648 elapsed=218.3s
2026-07-31 11:58:20,081 INFO adamw task 100/400 online_acc=0.2240 elapsed=256.7s
2026-07-31 11:59:04,322 INFO adamw task 120/400 online_acc=0.2376 elapsed=300.9s
2026-07-31 11:59:43,448 INFO adamw task 140/400 online_acc=0.2140 elapsed=340.1s
2026-07-31 12:00:34,488 INFO adamw task 160/400 online_acc=0.2100 elapsed=391.1s
2026-07-31 12:01:13,047 INFO adamw task 180/400 online_acc=0.1712 elapsed=429.7s
2026-07-31 12:02:42,702 INFO adamw task 200/400 online_acc=0.1996 elapsed=519.3s
2026-07-31 12:04:33,479 INFO adamw task 220/400 online_acc=0.2480 elapsed=630.1s
2026-07-31 12:05:00,917 INFO adamw task 240/400 online_acc=0.1740 elapsed=657.5s
2026-07-31 12:05:27,658 INFO adamw task 260/400 online_acc=0.2024 elapsed=684.3s
2026-07-31 12:05:55,809 INFO adamw task 280/400 online_acc=0.1908 elapsed=712.4s
2026-07-31 12:06:23,274 INFO adamw task 300/400 online_acc=0.2224 elapsed=739.9s
2026-07-31 12:06:52,131 INFO adamw task 320/400 online_acc=0.1624 elapsed=768.7s
2026-07-31 12:07:20,143 INFO adamw task 340/400 online_acc=0.1952 elapsed=796.8s
2026-07-31 12:07:52,279 INFO adamw task 360/400 online_acc=0.1736 elapsed=828.9s
2026-07-31 12:08:28,781 INFO adamw task 380/400 online_acc=0.1960 elapsed=865.4s
2026-07-31 12:09:03,136 INFO adamw task 400/400 online_acc=0.1780 elapsed=899.8s
2026-07-31 12:09:04,042 INFO wrote shard outputs/upgd_label_emnist/partials/adamw_seed102.json (avg online acc 0.2021, wall 899.8s)
