WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 09:21:04,507 INFO shard learner=sgd_ema_norm seed=101 tasks=400 task_length=2500
2026-08-02 09:22:02,578 INFO sgd_ema_norm task 20/400 online_acc=0.3492 elapsed=54.0s
2026-08-02 09:22:06,090 INFO sgd_ema_norm task 40/400 online_acc=0.3676 elapsed=57.5s
2026-08-02 09:22:09,956 INFO sgd_ema_norm task 60/400 online_acc=0.3788 elapsed=61.4s
2026-08-02 09:22:13,871 INFO sgd_ema_norm task 80/400 online_acc=0.3900 elapsed=65.3s
2026-08-02 09:22:18,030 INFO sgd_ema_norm task 100/400 online_acc=0.4264 elapsed=69.4s
2026-08-02 09:22:22,252 INFO sgd_ema_norm task 120/400 online_acc=0.4432 elapsed=73.7s
2026-08-02 09:22:26,542 INFO sgd_ema_norm task 140/400 online_acc=0.4664 elapsed=78.0s
2026-08-02 09:22:30,832 INFO sgd_ema_norm task 160/400 online_acc=0.5256 elapsed=82.2s
2026-08-02 09:22:35,127 INFO sgd_ema_norm task 180/400 online_acc=0.4900 elapsed=86.5s
2026-08-02 09:22:39,482 INFO sgd_ema_norm task 200/400 online_acc=0.4936 elapsed=90.9s
2026-08-02 09:22:43,675 INFO sgd_ema_norm task 220/400 online_acc=0.5368 elapsed=95.1s
2026-08-02 09:22:48,142 INFO sgd_ema_norm task 240/400 online_acc=0.5632 elapsed=99.6s
2026-08-02 09:22:53,334 INFO sgd_ema_norm task 260/400 online_acc=0.5432 elapsed=104.7s
2026-08-02 09:22:58,419 INFO sgd_ema_norm task 280/400 online_acc=0.5908 elapsed=109.8s
2026-08-02 09:23:02,679 INFO sgd_ema_norm task 300/400 online_acc=0.5504 elapsed=114.1s
2026-08-02 09:23:07,008 INFO sgd_ema_norm task 320/400 online_acc=0.5408 elapsed=118.4s
2026-08-02 09:23:11,381 INFO sgd_ema_norm task 340/400 online_acc=0.5804 elapsed=122.8s
2026-08-02 09:23:16,129 INFO sgd_ema_norm task 360/400 online_acc=0.5332 elapsed=127.5s
2026-08-02 09:23:21,890 INFO sgd_ema_norm task 380/400 online_acc=0.5816 elapsed=133.3s
2026-08-02 09:23:26,559 INFO sgd_ema_norm task 400/400 online_acc=0.5440 elapsed=138.0s
2026-08-02 09:23:26,666 INFO wrote shard outputs/upgd_label_emnist/partials_v2/sgd_ema_norm_seed101.json (avg online acc 0.4904, wall 138.0s)
