WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 09:21:04,580 INFO shard learner=upgd_ema_norm seed=101 tasks=400 task_length=2500
2026-08-02 09:32:19,785 INFO upgd_ema_norm task 20/400 online_acc=0.5740 elapsed=668.8s
2026-08-02 09:42:56,351 INFO upgd_ema_norm task 40/400 online_acc=0.6320 elapsed=1305.4s
2026-08-02 09:49:24,304 INFO upgd_ema_norm task 60/400 online_acc=0.6696 elapsed=1693.3s
2026-08-02 09:54:41,884 INFO upgd_ema_norm task 80/400 online_acc=0.6940 elapsed=2010.9s
2026-08-02 09:59:16,433 INFO upgd_ema_norm task 100/400 online_acc=0.7168 elapsed=2285.4s
2026-08-02 10:04:04,228 INFO upgd_ema_norm task 120/400 online_acc=0.7160 elapsed=2573.2s
2026-08-02 10:09:29,922 INFO upgd_ema_norm task 140/400 online_acc=0.7172 elapsed=2898.9s
2026-08-02 10:17:11,890 INFO upgd_ema_norm task 160/400 online_acc=0.7368 elapsed=3360.9s
2026-08-02 10:23:46,599 INFO upgd_ema_norm task 180/400 online_acc=0.7164 elapsed=3755.6s
2026-08-02 10:28:37,581 INFO upgd_ema_norm task 200/400 online_acc=0.7356 elapsed=4046.6s
2026-08-02 10:33:24,388 INFO upgd_ema_norm task 220/400 online_acc=0.7416 elapsed=4333.4s
2026-08-02 10:39:35,689 INFO upgd_ema_norm task 240/400 online_acc=0.7620 elapsed=4704.7s
2026-08-02 10:50:48,023 INFO upgd_ema_norm task 260/400 online_acc=0.7404 elapsed=5377.0s
2026-08-02 10:59:53,107 INFO upgd_ema_norm task 280/400 online_acc=0.7628 elapsed=5922.1s
2026-08-02 11:07:21,918 INFO upgd_ema_norm task 300/400 online_acc=0.7560 elapsed=6370.9s
2026-08-02 11:14:50,666 INFO upgd_ema_norm task 320/400 online_acc=0.7484 elapsed=6819.7s
2026-08-02 11:23:26,975 INFO upgd_ema_norm task 340/400 online_acc=0.7660 elapsed=7336.0s
2026-08-02 11:30:47,195 INFO upgd_ema_norm task 360/400 online_acc=0.7592 elapsed=7776.2s
2026-08-02 11:38:59,111 INFO upgd_ema_norm task 380/400 online_acc=0.7720 elapsed=8268.1s
2026-08-02 11:45:24,191 INFO upgd_ema_norm task 400/400 online_acc=0.7608 elapsed=8653.2s
2026-08-02 11:45:25,702 INFO wrote shard outputs/upgd_label_emnist/partials_v2/upgd_ema_norm_seed101.json (avg online acc 0.7151, wall 8653.3s)
